Status,Status,Commit Hash,Message,Notes,Problem
Done (Merged to dashpay),,8d5731986,Merge #12252: Require all tests to follow naming convention,,FALSE
DNM (Did Not Merge),,4602dc704,build: Bump version to 0.16.99,,FALSE
DNM (Did Not Merge),,9cb230905,doc: Update manpages to 0.16.99,,FALSE
Done (Merged to dashpay),,f0295becb,Merge #12302: test: Make ua_comment test pass on 0.16.0,,FALSE
Done (Merged to dashpay),,216f9a42e,Merge #12306: Docs: Improvements to UNIX documentation,,FALSE
Done (Merged to dashpay),,895fbd768,Merge #12309: doc: Explain how to update chainTxData in release process,,FALSE
Done (Merged to dashpay),,84291d18d,Merge #12326: net: initialize socket to avoid closing random fd's,,FALSE
Done (Merged to dashpay),,41363fe11,Merge #12327: [gui] Defer coin control instancing,,FALSE
Done (Merged to dashpay),,aa360e76a,Merge #12329: net: don't retry failed oneshot connections forever,,FALSE
Done (Merged to dashpay),,1b06ed136,Merge #12283: Fix typos,,FALSE
DNM (Did Not Merge),,4cad91663,Merge #11869: QA: segwit.py: s/find_unspent/find_spendable_utxo/,,FALSE
Done (Merged to dashpay),,85123be78,Merge #12317: Document method for reviewers to verify chainTxData,,FALSE
Done (Merged to dashpay),,d32528e73,Merge #12331: Docs: Properly alphabetize output of CLI --help option.,,FALSE
Done (Merged to dashpay),,2a30e67d2,Merge #12330: Reduce scope of cs_main and cs_wallet locks in listtransactions,,FALSE
Done (Merged to dashpay),,eaeaa2d0b,"Merge #12342: Extend #11583 to include ""version handshake timeout"" message",,FALSE
Done (Merged to dashpay),,9a3211462,Merge #12218: net: Move misbehaving logging to net logging category,,FALSE
DNM (Did Not Merge),,c3451483d,Merge #12322: Docs: Remove step making cloned repository world-writable for Windows build.,,FALSE
DNM (Did Not Merge),,88971352f,Merge #11909: contrib: Replace developer keys with list of pgp fingerprints,created an issue,FALSE
Done (Merged to dashpay),,f6cd41d93,Merge #12305: [docs] [refactor] Add help messages for datadir path mangling,,FALSE
Done (Merged to dashpay),,5ad320598,Merge #12363: Update README after filename change,,FALSE
Done (Merged to dashpay),,1462bde76,Merge #12050: [trivial] Implements a virtual destructor on the BaseRequestHandler class.,,FALSE
Done (Merged to dashpay),,0277173b1,Merge #10498: Use static_cast instead of C-style casts for non-fundamental types,,FALSE
DNM (Did Not Merge),,7217ea2cc,Merge #12367: Fix two fast-shutdown bugs,Not needed at the time of first view,FALSE
Done (Merged to dashpay),,36a927c52,Merge #12377: qt: Poll ShutdownTimer after init is done,,FALSE
Done (Merged to dashpay),,11f3eac79,Merge #12374: qt: Make sure splash screen is freed on AppInitMain fail,,FALSE
Done (Merged to dashpay),,6db4fa7ad,Merge #12366: http: Join worker threads before deleting work queue,,FALSE
Done (Merged to dashpay),,d57d10ee9,Merge #12368: Hold mempool.cs for the duration of ATMP.,,FALSE
DNM (Did Not Merge),,ab4ee6e69,Merge #12315: Bech32 addresses in dumpwallet,don't have bech32,FALSE
DNM (Did Not Merge),,c9ca4f602,Merge #12371: Add gitian PGP key: akx20000,,FALSE
Done (Merged to dashpay),,a1ffddb90,Merge #12298: Refactor HaveKeys to early return on false result,,FALSE
DNM (Did Not Merge),,b26452867,Merge #12354: add gpg key for fivepiece,,FALSE
Done (Merged to dashpay),,3843780fd,Merge #12336: Remove deprecated rpc options,,FALSE
Done (Merged to dashpay),,935eb8de0,Merge #12295: Enable flake8 warnings for all currently non-violated rules,,FALSE
Done (Merged to dashpay),,663911ed5,Merge #12282: wallet: Disallow abandon of conflicted txes,,FALSE
Done (Merged to dashpay),,d405beea2,Merge #12333: Make CWallet::ListCoins atomic,,FALSE
Done (Merged to dashpay),,67447ba06,Merge #12225: Mempool cleanups,,FALSE
Done (Merged to dashpay),,89005ddad,Merge #11761: [docs] initial QT documentation,,FALSE
Done (Merged to dashpay),,948c29cc0,Merge #12128: Refactor: One CBaseChainParams should be enough,,FALSE
DNM (Did Not Merge),,fe53d5f36,"Merge #12394: gitian-builder.sh: fix --setup doc, since lxc is default",,FALSE
Done (Merged to dashpay),,79313d2e2,Merge #12401: Reset pblocktree before deleting LevelDB file,,FALSE
Done (Merged to dashpay),,a8cbbdb07,Merge #12392: Fix ignoring tx data requests when fPauseSend is set on a peer,,FALSE
Done (Merged to dashpay),,0dfc25f82,Merge #12381: Remove more boost threads,,FALSE
Done (Merged to dashpay),,108af52ef,Merge #12393: Fix a-vs-an typos,,FALSE
Done (Merged to dashpay),,b4d85490f,Merge #11858: qa: Prepare tests for Windows,,FALSE
Done (Merged to dashpay),,c8b54b204,Merge #12351: Libraries: Use correct type ; avoid compiler warnings.,,FALSE
DNM (Did Not Merge),,8e6f9f4eb,Merge #12296: wallet: Only fee-bump non-conflicted/non-confirmed txes,,FALSE
Done (Merged to dashpay),,5dc00f68c,Merge #12193: RPC: Consistently use UniValue.pushKV instead of push_back(Pair()) (karel-3d),,FALSE
Done (Merged to dashpay),,c997f8808,Merge #12416: Fix Windows build errors introduced in #10498,,FALSE
Done (Merged to dashpay),,2dbc4a474,Merge #11771: [tests] Change invalidtxrequest to use BitcoinTestFramework,,FALSE
Done (Merged to dashpay),,f4f4f51f1,Merge #11966: clientversion: Use full commit hash for commit-based version descriptions,,FALSE
DNM (Did Not Merge),,252ae7111,"Merge #12424: Fix rescan test failure due to unset g_address_type, g_change_type",dep bech32,FALSE
Done (Merged to dashpay),,fdc2188da,"Merge #12232: Improve ""Turn Windows Features On or Off"" step",,FALSE
Done (Merged to dashpay),,0cc45edc0,Merge #12409: rpc: Reject deprecated reserveChangeKey in fundrawtransaction,,FALSE
Done (Merged to dashpay),,6bb9c13f9,Merge #11866: Do not un-mark fInMempool on wallet txn if ATMP fails.,,FALSE
Done (Merged to dashpay),,e782099a1,Merge #11733: qt: Remove redundant locks,,FALSE
Done (Merged to dashpay),,b2089c51c,Merge #12438: [Tests] Fix trivial typo in test_runner.py causing error,,FALSE
Done (Merged to dashpay),,ae0fbf098,Merge #12417: Upgrade mac_alias to 2.0.7,,FALSE
Done (Merged to dashpay),,737ed8bb7,Merge #12415: Interrupt loading thread after shutdown request,,FALSE
Done (Merged to dashpay),,bfa39114e,Merge #12426: qt: Initialize members in WalletModel,,FALSE
Done (Merged to dashpay),,fd65937ec,Merge #12356: Fix 'mempool min fee not met' debug output,,FALSE
DNM (Did Not Merge),,d09968f4d,Merge #12200: Bind functional test nodes to 127.0.0.1,was reverted later via 12464,FALSE
Done (Merged to dashpay),,58715f6d0,"Merge #12422: util: Make LockDirectory thread-safe, consistent, and fix OpenBSD 6.2 build",,FALSE
Done (Merged to dashpay),,5eff1c748,Merge #12349: shutdown: fix crash on shutdown with reindex-chainstate,,FALSE
DNM (Did Not Merge),,3fa556aee,Merge #12427: Make signrawtransaction accept P2SH-P2WSH redeemscripts,dont need,FALSE
Done (Merged to dashpay),,a233fb4f1,Merge #12442: devtools: Exclude patches from lint-whitespace,,FALSE
DNM (Did Not Merge),,1f055ef9d,Merge #12444: gitian: bump descriptors for (0.)17,,FALSE
Done (Merged to dashpay),,26dc2daf8,Merge #12425: Add some script tests,,FALSE
DNM (Did Not Merge),,4a62ddd01,Merge #12447: test: Add missing signal.h header,NCP,FALSE
Done (Merged to dashpay),,59e032b43,"Merge #12402: [depends] expat 2.2.5, ccache 3.4.1, miniupnpc 2.0.20180203",,FALSE
DNM (Did Not Merge),,27c59dc50,"Merge #12464: Revert ""[tests] bind functional test nodes to 127.0.0.1""",,FALSE
Done (Merged to dashpay),,23481fa50,Merge #12455: Fix bip68 sequence test to reflect updated rpc error message,,FALSE
Done (Merged to dashpay),,daa84b335,Merge #12029: Build: Add a makefile target for Doxygen documentation,,FALSE
DNM (Did Not Merge),,294a766eb,Merge #12468: Add missing newline in init.cpp log message,NCP,FALSE
Done (Merged to dashpay),,8a98dfeeb,Merge #10583: [RPC] Split part of validateaddress into getaddressinfo,very large,FALSE
Done (Merged to dashpay),,dcfe21862,Merge #12308: contrib: Add support for out-of-tree builds in gen-manpages.sh,,FALSE
Done (Merged to dashpay),,ffc6e48b2,Merge #10579: [RPC] Split signrawtransaction into wallet and non-wallet RPC command,,FALSE
DNM (Did Not Merge),,e117cfe45,Merge #12489: Bugfix: respect user defined configuration file (-conf) in QT settings,,FALSE
Done (Merged to dashpay),,e4ffcacc2,Merge #12494: Declare CMutableTransaction a struct in rawtransaction.h,,FALSE
Done (Merged to dashpay),,0e265916d,Merge #12503: [RPC] createmultisig no longer takes addresses,,FALSE
DNM (Did Not Merge),,4528f74fc,Merge #12487: init: Remove translation for `-blockmaxsize` option help,,FALSE
Done (Merged to dashpay),,aae64a21b,Merge #12451: Bump leveldb subtree,done in 12518,FALSE
Done (Merged to dashpay),,8c3396131,Merge #12486: [test] Round target fee to 8 decimals in assert_fee_amount,,FALSE
DNM (Did Not Merge),,28b8061d9,Merge #12474: [depends] Allow depends system to support armv7l,NCp,FALSE
Done (Merged to dashpay),,acd1e6155,Merge #12477: test: Plug memory leaks and stack-use-after-scope,,FALSE
Done (Merged to dashpay),,07090c533,Merge #12443: qa: Move common args to bitcoin.conf,,FALSE
Done (Merged to dashpay),,bf3353de9,Merge #12287: Optimise lock behaviour for GuessVerificationProgress(),,FALSE
DNM (Did Not Merge),,d3f4dd313,doc: Add historical release notes for 0.16.0,,FALSE
Done (Merged to dashpay),,228b086b9,Merge #12083: Improve getchaintxstats test coverage,,FALSE
DNM (Did Not Merge),,9e2ed253f,Merge #12556: [Trivial] fix version typo in getpeerinfo RPC call help,,FALSE
Done (Merged to dashpay),,32987d5ae,Merge #12549: Make prevector::resize() and other prevector operations much faster,,FALSE
Done (Merged to dashpay),,be263faf8,Merge #12421: [qt] navigate to  transaction history page after send,,FALSE
Done (Merged to dashpay),,39dcac27a,Merge #12570: Add test cases for HexStr (std::reverse_iterator and corner cases),,FALSE
Done (Merged to dashpay),,5c2aff8d9,Merge #10387: Eventually connect to NODE_NETWORK_LIMITED peers,,FALSE
DNM (Did Not Merge),,987a80995,Merge #11882: Disable default fallbackfee on mainnet,imo we don't want or need this,FALSE
DNM (Did Not Merge),,a4a5fc7c1,Merge #12546: [docs] Minor improvements to Compatibility Notes,no need,FALSE
Done (Merged to dashpay),,90a0aed51,Merge #12182: Remove useless string initializations,,FALSE
Done (Merged to dashpay),,ded6a2afa,Merge #12584: Fix typos and cleanup documentation,,FALSE
DNM (Did Not Merge),,6012f1caf,Merge #12582: Fix ListCoins test failure due to unset g_wallet_allow_fallback_fee,,FALSE
DNM (Did Not Merge),,480f42630,Merge #12543: Fix typos,dependant bech32,FALSE
DNM (Did Not Merge),,ce56fdd2e,Merge #12580: Show a transaction's virtual size in its details dialog,don't have virtual sizes,FALSE
Done (Merged to dashpay),,07d2d2a21,Merge #12475: qa: Fix python TypeError in script.py,,FALSE
Done (Merged to dashpay),,21e2670de,Merge #12434: [doc] dev-notes: Members should be initialized,,FALSE
Done (Merged to dashpay),,71f56da38,Merge #12452: docs: clarified systemd installation instructions in init.md for Ubuntu users.,,FALSE
Done (Merged to dashpay),,9d49dcf9f,Merge #12260: [Trivial] link mentioned scripted-diff-commit (developer-doc),,FALSE
Done (Merged to dashpay),,cbc1fcf57,Merge #12573: Fix compilation when compiler do not support __builtin_clz*,,FALSE
DNM (Did Not Merge),,d77b4a7bc,Merge #12527: gitian-build.sh: fix signProg being recognized as two parameters,we don't use this script anymore,FALSE
Done (Merged to dashpay),,6645eaf0a,Merge #12466: depends: Only use D_DARWIN_C_SOURCE when building miniupnpc on darwin,,FALSE
Done (Merged to dashpay),,7f9996432,Merge #12516: Avoid unintentional unsigned integer wraparounds in tests,,FALSE
Done (Merged to dashpay),,47a7666db,Merge #11889: Drop extra script variable in ProduceSignature,,FALSE
DNM (Did Not Merge),,c8ea91aa1,"Merge #12501: [qt] Improved ""custom fee"" explanation in tooltip",,FALSE
Done (Merged to dashpay),,d59b8d6aa,Merge #11880: Stop special-casing phashBlock handling in validation for TBV,,FALSE
Done (Merged to dashpay),,9a75902c5,Merge #11995: [depends] Fix Qt build with Xcode 9,,FALSE
Done (Merged to dashpay),,955fd2351,Merge #12512: Don't test against the mempool min fee information in mempool_limit.py,,FALSE
