Status,Status,Commit Hash,Message,Notes,Problem
,,5a2a9b5b0,Merge #15652: wallet: Update transactions with current mempool after load,,FALSE
,,8dbb2c5e6,Merge #15680: Remove resendwallettransactions RPC method,,FALSE
,,2c364fde4,Merge #14853: depends: latest RapidCheck,,FALSE
,,ba54342c9,Merge #15685: doc: rpc-mining: Clarify error messages,,FALSE
,,daef20fb5,Merge #15596: rpc: Ignore sendmany::minconf as dummy value,,FALSE
Done (Merged to dashpay),,c83442e17,Merge #15654: net: Remove unused unsanitized user agent string CNode::strSubVer,,FALSE
Done (Merged to dashpay),,35991b162,Merge #15755: rpc: remove unused var in rawtransaction.cpp,,FALSE
,,e439aeb30,Merge #15508: Refactor analyzepsbt for use outside RPC code,,FALSE
,,efbc86733,Merge #15660: [qa] Overhaul p2p_compactblocks.py,,FALSE
,,327d2746f,Merge #15495: Add regtests for HTTP status codes,,FALSE
Done (Merged to dashpay),,b4e74f938,Merge #15446: Improve depends debuggability,,FALSE
,,414d8461f,Merge #15711: gui: Generate bech32 addresses by default,,FALSE
,,297ea51ca,Merge #15760: doc: Clarify sendrawtransaction::maxfeerate==0 help,,FALSE
,,a238fccce,Merge #15763: Update bips.md for 0.18.0,,FALSE
,,79f73436a,Merge #15757: List new RPCs in psbt.md and descriptors.md,,FALSE
,,8088ff21e,Merge #15765: doc: correct bitcoinconsensus_version in shared-libraries.md,,FALSE
,,db2985651,Merge #15747: wallet: Remove plethora of Get*Balance,,FALSE
,,54798c3a3,Merge #15749: Fix: importmulti only imports origin info for PKH outputs,,FALSE
Done (Merged to dashpay),,f3ecf3025,Merge #15772: test: Properly log named args in authproxy,,FALSE
,,f9f6c11a7,Merge #15771: qa: Prevent concurrency issues reading .cookie file,,FALSE
,,23712f8ab,Merge #15693: travis: Switch to ubuntu keyserver to avoid timeouts,,FALSE
,,93de9abe6,Merge #15632: Remove ResendWalletTransactions from the Validation Interface,,FALSE
,,5392aee64,Merge #15629: init: Throw error when network specific config is ignored,,FALSE
,,8c022e8ac,Merge #15746: rpc: RPCHelpMan: Always name dictionary keys,,FALSE
,,e82f6ad6f,Merge #15754: rpc: getrpcinfo docs,,FALSE
,,e3a0688f8,Merge #15659: [docs] fix findFork comment,,FALSE
,,6a135fbe5,Merge #15638: Move-only: Pull wallet code out of libbitcoin_server,partial,FALSE
,,f6120d40d,Merge #15728: [wallet] Refactor relay transactions,,FALSE
,,c536dfbcb,Merge #15639: bitcoin-wallet tool: Drop libbitcoin_server.a dependency,,FALSE
,P_Staged (merged to Pasta local repo),570eb7b13,Merge #15782: Avoid redefine warning,,FALSE
,,bb68abe78,Merge #15718: docs: Improve netaddress comments,,FALSE
Done (Merged to dashpay),,0e9cb2d24,Merge #15773: test: Add BitcoinTestFramework::sync_* methods,,FALSE
,,66ce95a43,"Merge #15797: travis: Bump second timeout to 33 minutes, Add rationale",,FALSE
,,adc55dbac,Merge #15748: [rpc] remove dead mining code,,FALSE
,,4f4ef3138,Merge #15557: Enhance `bumpfee` to include inputs when targeting a feerate,,FALSE
,,617261eb1,Merge #15809: gitignore: plist and dat,,FALSE
,,0c6487c74,Merge #15751: Speed up deriveaddresses for large ranges,,FALSE
,,9422e2c29,Merge #15792: doc: describe onlynet option in doc/tor.md,,FALSE
,,2a191b484,Merge #15802: doc: mention creating application support bitcoin folder on OSX,,FALSE
,,2a854a178,Merge #15750: [rpc] Remove the addresses field from the getaddressinfo return object,,FALSE
,P_Staged (merged to Pasta local repo),2209b3ba2,Merge #15799: doc: Clarify RPC versioning,,FALSE
,,78295e97b,"Merge #15788: test: Unify testing setups for fuzz, bench, and unit tests",,FALSE
,,598323911,Merge #15770: rpc: Validate maxfeerate with AmountFromValue,,FALSE
,,0c9de67f3,Merge #15352: tests: Reduce noise level in test_bitcoin output,,FALSE
,,e2b5fdee0,Merge #15474: rest/rpc: Make mempoolinfo atomic,,FALSE
,,429a7cf34,Merge #15831: test: Add test that addmultisigaddress fails for watchonly addresses,,FALSE
,,dae72998e,Merge #15779: test: Add wallet_balance benchmark,,FALSE
,,e4beef611,Merge #14121: Index for BIP 157 block filters,,FALSE
,,693c743a3,Merge #15843: tests: fix outdated include in blockfilter_index_tests,,FALSE
,,f5aaeae0c,"Merge #15801: Bugfix: GUI: Options: Initialise prune setting range before loading current value, and remove upper bound limit",,FALSE
,,6ce77a366,Merge #15833: [doc] remove out-of-date comment on pay-to-witness support,,FALSE
,,84adc79e1,Merge #15829: qt: update request payment button text and tab description,,FALSE
,,2d4f70cab,Merge #15838: scripts and tools: Fetch missing review comments in github-merge.py,,FALSE
,,d1c2ed8dd,Merge #15821: doc: Remove upgrade note in release notes from EOL versions,,FALSE
,,ae2c19f57,Merge #15655: Resolve the checkpoints <-> validation circular dependency,,FALSE
,,b6a5583c4,Merge #15853: wallet: Remove unused import checkpoints.h,,FALSE
,,56376f336,Merge #15670: refactor: combine Chain::findFirstBlockWithTime/findFirstBlockWithTimeAndHeight,,FALSE
,,08bd21a3b,Merge #15826: Pure python EC,,FALSE
Done (Merged to dashpay),,caceff554,Merge #15866: test: Add missing syncwithvalidationinterfacequeue to wallet_import_rescan,,FALSE
,,2d5419fee,Merge #15780: wallet: add cachable amounts for caching credit/debit values,,FALSE
,,cd14d210c,Merge #15463: rpc: Speedup getaddressesbylabel,,FALSE
,,e9e777e21,Merge #15874: Resolve the qt/guiutil <-> qt/optionsmodel CD,,FALSE
,,4bd7187da,Merge #15699: Remove no-op CClientUIInterface::[signal_name]_disconnect. Disconnect BlockNotifyGenesisWait and RPCNotifyBlockChange properly.,,FALSE
,K_Staged (merged to Kitty local repo),40a720acb,Merge #15697: qa: Make swap_magic_bytes in p2p_invalid_messages atomic,,FALSE
,,8cca1fbea,Merge #14818: Bugfix: test/functional/rpc_psbt: Remove check for specific error message that depends on uncertain assumptions,,FALSE
,,c65c77c72,Merge #14039: Disallow extended encoding for non-witness transactions,,FALSE
,,653b2b442,Merge #15893: Add test for superfluous witness record in deserialization,,FALSE
,,f73a3c618,Merge #15895: QA: Avoid re-reading config.ini unnecessarily,,FALSE
,,5046d4e91,"Merge #15896: QA: feature_filelock, interface_bitcoin_cli: Use PACKAGE_NAME in messages rather than hardcoding Bitcoin Core",,FALSE
,,b1e013e4f,Merge #13788: Fix --disable-asm for newer assembly checks/code,,FALSE
,,d76b72a45,Merge #15267: doc: explain AcceptToMemoryPoolWorker's coins_to_uncache,,FALSE
,,ec519d4d5,Merge #15903: appveyor: Write @PACKAGE_NAME@ to config,,FALSE
Done (Merged to dashpay),,65ec4d6fb,Merge #15887: docs: Align code example style with clang-format,,FALSE
,,703414994,Merge #15784: rpc: Remove dependency on interfaces::Chain in SignTransaction,,FALSE
,,b025aa3b9,Merge #15846: [POLICY] Make sending to future native witness outputs standard,,FALSE
,,3356799ee,Merge #15778: [wallet] Move maxtxfee from node to wallet,,FALSE
,,bdd7217f2,Merge #15901: wallet: log on rescan completion,,FALSE
,,3a0d6da09,Merge #15371: gui: Uppercase bech32 addresses in qr codes,,FALSE
,,150be1c7b,Merge #15917: wallet: Avoid logging no_such_file_or_directory error,,FALSE
,,c1d2b76d8,Merge #15913: Bugfix: dummywallet: Add -ignorepartialspends to list of ignored wallet options,,FALSE
,,11e32e2fd,Merge #12051: add missing debian contrib file to tarball,,FALSE
,,5873e9a3e,Merge #15919: Remove unused OpenSSL includes to make it more clear where OpenSSL is used,,FALSE
,,10852210b,Merge #15877: doc: Fix -dustrelayfee= argument docs grammar,,FALSE
,,67caf2d1d,Merge #15920: lint: Check that all wallet args are hidden,,FALSE
,,8da1aa471,Merge #15908: docs: Align MSVC build options with Linux build ones,,FALSE
,,ce6762030,Merge #15897: QA/mininode: Send all headers upfront in send_blocks_and_test to avoid sending an unconnected one,,FALSE
,,45d8b7177,Merge #15696: [qa] test_runner: Move feature_pruning to base tests,,FALSE
,,10ed4dff2,Merge #15869: Add settings merge test to prevent regresssions,,FALSE
Done (Merged to dashpay),,2c35fe623,Merge #15849: Thread names in logs and deadlock debug tools,,FALSE
,,2eb8c5d7a,Merge #15758: qa: Add further tests to wallet_balance,,FALSE
,,86edb79e9,Merge #15841: [test] combine_logs: append node stderr and stdout if it exists,,FALSE
,,12aa2ac98,Merge #15323: rpc: Expose g_is_mempool_loaded via getmempoolinfo,,FALSE
,,0936f35f6,Merge #15842: refactor: replace isPotentialtip/waitForNotifications by higher method,partial,FALSE
Done (Merged to dashpay),,c4560a7df,Merge #15650: Handle the result of posix_fallocate system call,,FALSE
,,c1ba1182e,"Merge #15938: refactor: Silence ""control reaches end of non-void function"" (-Wreturn-type) in psbt.cpp",,FALSE
,,24dfcf3a5,Merge #15941: doc: Add historical release notes for 0.18.0,,FALSE
,,94daebf32,Merge #15932: rpc: Serialize in getblock without cs_main,,FALSE
,,f19a3b2de,Merge #15949: test_runner: Move pruning back to extended,,FALSE
,,d7d7d3150,Merge #15141: Rewrite DoS interface between validation and net_processing,,FALSE
,,9bbaac73b,Merge #15928: GUI: Move QRImageWidget to its own file-pair,,FALSE
,,773e16f91,Merge #15947: Install bitcoin-wallet manpage,,FALSE
,,a3d2d6b06,Merge #15930: rpc: Add balances RPC,,FALSE
,,c5ffe8d51,Merge #15730: rpc: Show scanning details in getwalletinfo,,FALSE
,,8ec7121a4,Merge #15927: [tests] log thread names by default in functional tests,,FALSE
Done (Merged to dashpay),,3632143eb,Merge #14266: refactor: Lift prevector default vals to the member declaration,,FALSE
,,b2a6b0216,Merge #15948: refactor: rename chainActive,,FALSE
Done (Merged to dashpay),,ef802ef5d,Merge #15880: utils and libraries: Replace deprecated Boost Filesystem functions,,FALSE
,,bbb7119ca,Merge #15978: .gitignore: Don't ignore depends patches,,FALSE
,,49c1aa5f8,Merge #15971: validation: Add compile-time checking for negative locking requirement in LimitValidationInterfaceQueue,,FALSE
,,c459c5f70,Merge #15664: change default Python block serialization to witness,,FALSE
,P_Staged (merged to Pasta local repo),08788ce17,Merge #15890: Doc: remove text about txes always relayed from -whitelist,,FALSE
,,a65fd92f7,Merge #15766: scripts and tools: Upgrade gitian image before signing,,FALSE
Done (Merged to dashpay),,aebe990df,Merge #15794: docs: Clarify PR guidelines w/re documentation,,FALSE
,,de5af41e3,Merge #15452: Replace CScriptID and CKeyID in CTxDestination with dedicated types,,FALSE
,,79046d574,Merge #15939: gitian: Remove Windows 32 bit build,,FALSE
,,695141bf7,Merge #15512: Add ChaCha20 encryption option (XOR),,FALSE
,,87dbf8927,"Merge #15239: scripts and tools: Move non-linux build source tarballs to ""bitcoin-binaries/version"" directory",,FALSE
,,14959753a,Merge #15744: refactor: Extract ParseDescriptorRange,,FALSE
,,e2371f842,Merge #14802: rpc: faster getblockstats using BlockUndo data,,FALSE
,,e79bbb73e,Merge #15607: [Docs] Release process updates,,FALSE
Done (Merged to dashpay),,667a86174,Merge #14364: doc: Clarify -blocksdir usage,,FALSE
,,40c66bb3d,Merge #15855: [refactor] interfaces: Add missing LockAnnotation for cs_main,,FALSE
,,6f4ba6492,Merge #15988: Add test for ArgsManager::GetChainName,,FALSE
,,3503a69ba,Merge #15963: [tests] Make random seed logged and settable,,FALSE
,,65526fc86,Merge #15777: [docs] Add doxygen comments for keypool classes,,FALSE
,,2d16fb7a2,Merge #14984: rpc: Speedup getrawmempool when verbose=true,,FALSE
,,9d266dbde,Merge #15943: tests: Fail if RPC has been added without tests,,FALSE
Done (Merged to dashpay),,2b56c9a86,Merge #15983: build with -fstack-reuse=none,,FALSE
Done (Merged to dashpay),,47ec8318a,Merge #15968: Fix portability issue with pthreads,,FALSE
Done (Merged to dashpay),,fd61b9fc2,Merge #15950: Do not construct out-of-bound pointers in SHA2 code,,FALSE
Done (Merged to dashpay),,41f4c63b3,Merge #16036: travis: Run all lint scripts even if one fails,,FALSE
,,d5931f367,Merge #15870: wallet: Only fail rescan when blocks have actually been pruned,,FALSE
,,1c719f78d,Merge #15006: Add option to create an encrypted wallet,,FALSE
,,df7addc4c,Merge #15990: Add tests and documentation for blocksonly,,FALSE
,,376638afc,Merge #14047: Add HKDF_HMAC256_L32 and method to negate a private key,,FALSE
Done (Merged to dashpay),,fd7d97dec,Merge #15820: docs: Add productivity notes for dummy rebases,,FALSE
,,8f2f17f79,Merge #15970: Utils and libraries: fix static_assert for macro HAVE_THREAD_LOCAL,,FALSE
,,f3d27d126,Merge #16033: Hold cs_main when reading chainActive via getTipLocator(). Remove assumeLocked().,,FALSE
,,a822a0e4f,Merge #15999: init: Remove dead code in LoadChainTip,,FALSE
,P_Staged (merged to Pasta local repo),277abed60,Merge #15922: doc: Explain how to pass in non-fundamental types into functions,,FALSE
Done (Merged to dashpay),,c89a63412,Merge #15863: scripts and tools: Ensure repos are up-to-date in gitian-build.py,,FALSE
,,82b64a5a8,Merge #15224: Add RNG strengthening (10ms once every minute),,FALSE
,,387eb5b34,"Merge #15957: Show ""No wallets available"" in open menu instead of nothing",,FALSE
Done (Merged to dashpay),,7110d455e,Merge #12980: Allow quicker shutdowns during LoadBlockIndex(),,FALSE
Done (Merged to dashpay),,726342445,Merge #16001: Give WalletModel::UnlockContext move semantics,,FALSE
,,dfc02dac0,Merge #16051: depends: add patch to common dependencies,,FALSE
,,bb291b50f,Merge #16021: p2p: Avoid logging transaction decode errors to stderr,,FALSE
,,149b3477e,Merge #15840: Contrib scripts: Filter IPv6 by ASN,,FALSE
,,f49b8d478,Merge #13998: Scripts and tools: gitian-build.py improvements and corrections,,FALSE
,K_Staged (merged to Kitty local repo),2d1583ee6,Merge #15236: scripts and tools: Make --setup command independent,,FALSE
Done (Merged to dashpay),,3001cc61c,Merge #13555: Tests: parameterize adjustment period in versionbits_computeblockversion,,FALSE
,,ecbbb5caf,Merge #16071: RPC: Hint for importmulti in help output of importpubkey and importaddress,,FALSE
,,953f75767,Merge #16049: depends: switch to secure download of all dependencies,,FALSE
,,1c177c3a0,Merge #16015: validation: Hold cs_main when reading chainActive in RewindBlockIndex,,FALSE
,P_Staged (merged to Pasta local repo),fdc951ad0,Merge #16073: refactor: Improve CRollingBloomFilter::reset by using std::fill,,FALSE
,,12fd4bbd1,Merge #16063: rpc: Mention getwalletinfo where a rescan is triggered,,FALSE
,,b4223dd5f,Merge #16079: wallet_balance.py: Prevent edge cases,,FALSE
,,0b058ba69,Merge #16024: [rpc] deriveaddresses: Correction of descriptor checksum in RPC example,,FALSE
,,65c4bbe62,Merge #16034: refactoring: Rename LockAnnotation to LockAssertion and add run-time check to it,,FALSE
,,fe47ae168,"Merge #16080: build/doc: update bitcoin_config.h packages, release process",,FALSE
,,854ffcae8,Merge #16078: test: replace tx hash with txid in rawtransaction test,,FALSE
,,63b9efa73,Merge #16042: test: Bump MAX_NODES to 12,,FALSE
Done (Merged to dashpay),,e043bfce6,Merge #16059: configure: Fix thread_local detection,,FALSE
,,8ab4f282c,Merge #15622: Remove global symbols: Avoid using the global namespace if possible,,FALSE
,,76e2cded4,Merge #16095: Catch by reference not value in wallettool,,FALSE
,,e78c33131,Merge #16114: contrib: add curl as a required program in gitian-build.py,,FALSE
,,ed40fbb02,Merge #15741: Batch write imported stuff in importmulti,,FALSE
Done (Merged to dashpay),,ab6d18e6f,"Merge #16113: gui: move coin control ""OK"" to the right hand side of the dialog",,FALSE
,,411e5f154,Merge #16047: doc: analyzepsbt description in doc/psbt.md,,FALSE
Done (Merged to dashpay),,de458da0c,Merge #16056: mempool: remove unused magic number from consistency check,,FALSE
,,12ba656de,Merge #16089: depends: add ability to skip building zeromq,,FALSE
Done (Merged to dashpay),,62efead8a,Merge #16046: util: Add type safe GetTime,,FALSE
,,1dbbfea9c,Merge #15703: Update secp256k1 subtree to latest upstream,,FALSE
,,abcce46a3,Merge #16039: docs: add release note for 14954,,FALSE
,,c7cfd20a7,Merge #16086: contrib: use newer config.guess & config.sub in install_db4.sh,,FALSE
Done (Merged to dashpay),,38523721a,Merge #16135: gui: Set progressDialog to nullptr,,FALSE
Done (Merged to dashpay),,c3723c80d,Merge #16122: gui: Enable console line edit on setClientModel,,FALSE
,,599206fda,Merge #16090: Qt: Add vertical spacer to peer detail widget,,FALSE
,,652033008,Merge #16044: qt: fix opening bitcoin.conf via Preferences on macOS,,FALSE
,,d3a1c2502,Merge #16124: tests: Limit Python linting to files in the repo,,FALSE
,,51858c57f,Merge #16139: Docs: Add riscv64 to outputs list in release-process.md,,FALSE
,,5d37c1bde,Merge #15976: refactor: move methods under CChainState (pt. 1),,FALSE
,,52ec4c64e,Merge #16144: wallet: do not encrypt wallets with disabled private keys,,FALSE
,,d936cf9ea,Merge #15985: Add test for GCC bug 90348,,FALSE
Done (Merged to dashpay),,03e2786f0,Merge #16140: docs: create security policy,,FALSE
,,03858b23f,Merge #15844: depends: Purge libtool archives,,FALSE
Done (Merged to dashpay),,fc6cbc31e,Merge #15689: netaddress: Update CNetAddr for ORCHIDv2,,FALSE
Done (Merged to dashpay),,26a0d07dd,Merge #16130: Don't GPG sign intermediate commits with github-merge tool,,FALSE
,,9fccdd4ed,"Merge #15886: qt, wallet: Revamp SendConfirmationDialog",,FALSE
Done (Merged to dashpay),,36fb96882,Merge #15461: [depends] update to Boost 1.70,,FALSE
,,d0f81a96d,Merge #16129: refactor: Remove unused includes,,FALSE
,,af05f36b6,Merge #16141: build: remove GZIP export from gitian descriptors,,FALSE
,,5d2ccf0ce,Merge #15024: Allow specific private keys to be derived from descriptor,,FALSE
Done (Merged to dashpay),,70d77fff3,Merge #16162: scripts: add key for Michael Ford (fanquake) to trusted keys list,,FALSE
,,8a503a6c6,Merge #16164: doc: update release process for SECURITY.md,,FALSE
Done (Merged to dashpay),,6899ef3f0,Merge #16143: tests: Mark unit test blockfilter_index_initial_sync as non-deterministic,,FALSE
,,473c6b7c5,Merge #16184: scripted-diff: gitian: Use REFERENCE_DATETIME directly.,,FALSE
Done (Merged to dashpay),,f792395d1,Merge #15834: Fix transaction relay bugs introduced in #14897 and expire transactions from peer in-flight map,,FALSE
,,afab1312c,Merge #16118: gui: Enable open wallet menu on setWalletController,,FALSE
,,431d81b61,Merge #15991: Bugfix: fix pruneblockchain returned prune height,,FALSE
Done (Merged to dashpay),,7524376a8,Merge #16201: devtools: Always use unabbreviated commit IDs in github-merge.py,,FALSE
,,f6f924811,Merge #16214: travis: Fix caching issues,,FALSE
,,8cbeaedee,Merge #16213: doc: Remove explicit mention of versions from SECURITY.md,,FALSE
,,47d981e82,Merge #16186: doc/lint: Fix spelling errors identified by codespell 1.15.0,,FALSE
Done (Merged to dashpay),,2ea8ebd21,Merge #16149: doc: Rework section on ACK in CONTRIBUTING.md,,FALSE
,,f3855781f,Merge #16196: doc: Add release notes for 14897 & 15834,,FALSE
,,1a274bce4,Merge #16205: Refactor: Replace fprintf with tfm::format,,FALSE
Done (Merged to dashpay),,fce412324,Merge #16217: getrawtransaction: inform about blockhash argument when lookup fails,,FALSE
,,d9bafca20,Merge #15982: tests: Make msg_block a witness block,,FALSE
,,91958d66c,Merge #16210: rpc: add 2nd arg to signrawtransactionwithkey examples,,FALSE
Done (Merged to dashpay),,98958c81f,Merge #16225: tests: Make coins_tests/updatecoins_simulation_test deterministic,,FALSE
,,22b6c4ed7,Merge #15899: rpc: Document iswitness flag and fix bug in converttopsbt,,FALSE
,,e2182b02b,Merge #16171: Remove -mempoolreplacement to prevent needless block prop slowness.,,FALSE
,,8777a8070,Merge #12324: speed up Unserialize_impl for prevector,,FALSE
Done (Merged to dashpay),,6c9d3c704,"Merge #15651: torcontrol: Use the default/standard network port for Tor hidden services, even if the internal port is set differently",,FALSE
Done (Merged to dashpay),,0853d8d2f,Merge #16112: util: Log early messages,,FALSE
,,0b68fca70,Merge #16092: Don't use global (external) symbols for symbols that are used in only one translation unit,,FALSE
,,ac4d38c33,Merge #16236: fuzz: Log output even if fuzzer failed,,FALSE
,,44d817232,"Merge #13756: wallet: ""avoid_reuse"" wallet flag for improved privacy",,FALSE
,,0221420d1,Merge #16235: build: Cleaned up and consolidated msbuild files (no code changes),,FALSE
,,b1344eac5,Merge #16241: docs: add rapidcheck to vcpkg install list,,FALSE
,,413e438ea,Merge #16243: doc: Remove travis badge from readme,,FALSE
Done (Merged to dashpay),,9c95515ba,Merge #15520: cirrus: Run extended test feature_pruning,,FALSE
Done (Merged to dashpay),,ea45967e8,Merge #16234: test: Add test for unknown args,,FALSE
,,b4ad4c0de,Merge #16207: test: stop generating lcov coverage when functional tests fail,,FALSE
,,23815ee74,Merge #16246: MSVC: Fix error in debug mode (Fix #16245),,FALSE
,,303ec103b,Merge #16026: Ensure that uncompressed public keys in a multisig always returns a legacy address,,FALSE
,,fd333e15a,Merge #16226: Move ismine to the wallet module,,FALSE
Done (Merged to dashpay),,32e945381,Merge #16256: doc: remove orphaned header in developer notes,,FALSE
,,2cbcc55ba,Merge #16239: wallet/rpc: follow-up clean-up/fixes to avoid_reuse,,FALSE
,,c1bab5052,Merge #16231: gui: Fix open wallet menu initialization order,,FALSE
,,c8fee6769,Merge #16263: qt: Use qInfo() if no error occurs,,FALSE
,,44e849c35,Merge #16254: qt: Set AA_EnableHighDpiScaling attribute early,,FALSE
,,e115a21f7,Merge #16223: devtools: Fetch and display ACKs at sign-off time in github-merge,,FALSE
Done (Merged to dashpay),,21bd6eb78,Merge #16188: net: Document what happens to getdata of unknown type,,FALSE
,,bc948d4cf,Merge #16183: depends: xtrans: Configure flags cleanup.,,FALSE
,,c52776e6f,Merge #16252: test: Log to debug.log in all unit tests,,FALSE
