Status,Status,Commit Hash,Message,Notes,Problem
DNM (Did Not Merge),,f6283b471,build: bump version to 0.15.99,,FALSE
DNM (Did Not Merge),,140de14a1,gitian: bump descriptors for master,,FALSE
Done (Merged to dashpay),,3841aaf05,Merge #11008: Enable disablesafemode by default.,,FALSE
Done (Merged to dashpay),,64e66bb26,Merge #10964: Pass SendCoinsRecipient (208 bytes) by reference,,FALSE
Done (Merged to dashpay),,ae4772468,Merge #11017: [wallet] Close DB on error.,,FALSE
Done (Merged to dashpay),,85aec87b1,Merge #10711: [tests] Introduce TestNode,,FALSE
Done (Merged to dashpay),,d7be7b39f,Merge #10705: Trivial: spelling fixes,,FALSE
Done (Merged to dashpay),,4fb258666,Merge #10956: Fix typos,,FALSE
Done (Merged to dashpay),,636694127,Merge #10680: Fix inconsistencies and grammar in various files,,FALSE
Done (Merged to dashpay),,7db65c363,Merge #11011: [Trivial] Add a comment on the use of prevector in script.,,FALSE
Done (Merged to dashpay),,b6a48914c,Merge #9964: Add const to methods that do not modify the object for which it is called,,FALSE
Done (Merged to dashpay),,655970d9c,Merge #10965: Replace deprecated throw() with noexcept specifier (C++11),,FALSE
Done (Merged to dashpay),,a46a671e2,Merge #10957: Avoid returning a BIP9Stats object with uninitialized values,,FALSE
Done (Merged to dashpay),,d451d0bcf,Merge #11056: disable jni in builds,,FALSE
Done (Merged to dashpay),,c484ec6c9,Merge #10645: Use nullptr (C++11) instead of zero (0) as the null pointer constant,,FALSE
Done (Merged to dashpay),,22e301a3d,Merge #10901: Fix constness of ArgsManager methods,,FALSE
Done (Merged to dashpay),,4afb5aa9e,"Merge #10969: Declare single-argument (non-converting) constructors ""explicit""",,FALSE
Done (Merged to dashpay),,dbf6bd6ea,"Merge #11071: Use static_assert(…, …) (C++11) instead of assert(…) where appropriate",,FALSE
Done (Merged to dashpay),,f3558834d,Merge #11083: Fix combinerawtransaction RPC help result section,,FALSE
Done (Merged to dashpay),,c58128f18,Merge #10878: Docs: Fix Markdown formatting issues in init.md,,FALSE
Done (Merged to dashpay),,9f60b3707,"Merge #11081: Add length check for CExtKey deserialization (jonasschnelli, guidovranken)", ,FALSE
DNM (Did Not Merge),,aeec8b4b6,Merge #11080: doc: Update build-openbsd for 6.1,,FALSE
Done (Merged to dashpay),,9e00a625b,Merge #11066: Document the preference of nullptr over NULL or (void*)0,,FALSE
Done (Merged to dashpay),,fc51565cb,Merge #11039: Avoid second mapWallet lookup,,FALSE
Done (Merged to dashpay),,0e5b7486c,Merge #11044: [wallet] Keypool topup cleanups,,FALSE
Done (Merged to dashpay),,262167393,Merge #10952: [wallet] Remove vchDefaultKey and have better first run detection,,FALSE
Done (Merged to dashpay),,a8532299d,Merge #11091: test: Increase initial RPC timeout to 60 seconds,,FALSE
Done (Merged to dashpay),,820ddd48a,Merge #11027: [RPC] Only return hex field once in getrawtransaction,,FALSE
Done (Merged to dashpay),,7ee6c434c,Merge #11097: gitian: quick hack to fix version string in releases,,FALSE
Done (Merged to dashpay),,c559884ca,Merge #10809: optim: mark a few classes final,,FALSE
Done (Merged to dashpay),,271e40a98,"Merge #11094: Docs: Hash in ZMQ hash is raw bytes, not hex",,FALSE
Done (Merged to dashpay),,ea3ac5990,Merge #11026: Bugfix: Use testnet RequireStandard for -acceptnonstdtxn default,,FALSE
Done (Merged to dashpay),,7ed57d3d7,Merge #11050: Avoid treating null RPC arguments different from missing arguments,,FALSE
Done (Merged to dashpay),,4b65fa592,Merge #11058: Comments: More comments on functions/globals in standard.h.,,FALSE
Done (Merged to dashpay),,2ab7c6300,Merge #10843: Add attribute [[noreturn]] (C++11) to functions that will not return,,FALSE
Done (Merged to dashpay),,fc5c237d4,Merge #11007: wallet: Fix potential memory leak when loading a corrupted wallet file,,FALSE
Done (Merged to dashpay),,3e55f13bf,Merge #11024: tests: Remove OldSetKeyFromPassphrase/OldEncrypt/OldDecrypt,,FALSE
DNM (Did Not Merge),,2c9f5ecf3,Merge #10923: travis: Build with --enable-werror under OS X,I refuse to deal with travis,FALSE
Done (Merged to dashpay),,31b2612bb,Merge #10679: Document the non-DER-conformance of one test in tx_valid.json.,,FALSE
Done (Merged to dashpay),,41496e20f,Merge #11077: [tests] fix timeout issues from TestNode,,FALSE
Done (Merged to dashpay),,8858b6ddd,Merge #11068: qa: Move wait_until to util,,FALSE
Done (Merged to dashpay),,00ada1723,Merge #11119: [doc] build-windows: Mention that only trusty works,,FALSE
