Status,Status,Commit Hash,Message,Notes,Problem
DNM (Did Not Merge),,58efc49b9,build: bump version to 0.17.99,,FALSE
Done (Merged to dashpay),,f083ec13c,Merge #13938: refactoring: Cleanup StartRest(),,FALSE
DNM (Did Not Merge),,62d40f198,Merge #13955: gitian: bump descriptors for (0.)18,,FALSE
Done (Merged to dashpay),,6edda062d,Merge #13953: fix deprecation in bitcoin-util-test.py,,FALSE
Done (Merged to dashpay),,3bd25c010,Merge #13899: build: Enable -Wredundant-decls where available. Remove redundant redeclarations.,partial,FALSE
,,afa960002,Merge #11526: Visual Studio build configuration for Bitcoin Core,NOT TRIVIAL,FALSE
Done (Merged to dashpay),,f87d0a9d7,Merge #13534: Don't assert(foo()) where foo() has side effects,,FALSE
Done (Merged to dashpay),,ddc3ec92b,Merge #13634: ui: Compile boost::signals2 only once,,FALSE
Done (Merged to dashpay),,7ef60ce88,Merge #13963: tests: Replace usage of tostring() with tobytes(),,FALSE
Done (Merged to dashpay),,2be8206a6,Merge #13962: Remove unused dummy_tx variable from FillPSBT,,FALSE
Done (Merged to dashpay),,db3cb5c5a,Merge #13948: trivial: Removes unsed `CBloomFilter` constructor.,,FALSE
Done (Merged to dashpay),,dabfcb030,Merge #13965: tests: Fix extended functional tests fail,,FALSE
Done (Merged to dashpay),,3e5424faf,Merge #13960: Fix PSBT deserialization of 0-input transactions,,FALSE
,,63f8b0128,Merge #13917: Additional safety checks in PSBT signer,,FALSE
,,e393a18b5,Merge #13964: ci: Add Appveyor CI,,FALSE
Done (Merged to dashpay),,80127f074,Merge #13974: [trivial] Fix typo in CDiskBlockPos struct's ToString,,FALSE
Done (Merged to dashpay),,dc9d50668,Merge #13982: refactor: use fs:: over boost::filesystem::,,FALSE
Done (Merged to dashpay),,ef98e122c,Merge #13891: [RPC] Remove getinfo deprecation warning,,FALSE
Done (Merged to dashpay),,b5591ca0b,Merge #13399: rpc: Add submitheader,,FALSE
Done (Merged to dashpay),,885a45e32,Merge #13985: [trivial] Fix slightly confusing mispelling in feature_blocksdir.py log message,,FALSE
,,3c8d1ae15,Merge #13665: [build] Add risc-v support to gitian,,FALSE
,,1f470a891,Merge #13997: appveyor: fetch the latest port data,,FALSE
Done (Merged to dashpay),,df660aa77,Merge #14000: depends: fix qt determinism,,FALSE
,,2a583406c,Merge #13248: [gui] Make proxy icon from statusbar clickable,,FALSE
DNM (Did Not Merge),,4732fa133,Merge #12818: [qt] TransactionView: highlight replacement tx after fee bump,,FALSE
,,8aa9badf5,Merge #13968: [wallet] couple of walletcreatefundedpsbt fixes,,FALSE
Done (Merged to dashpay),,af4fa72fa,Merge #13529: Use new Qt5 connect syntax,,FALSE
Done (Merged to dashpay),,df29abf67,Merge #14006: Add const modifier to HTTPRequest methods,,FALSE
Done (Merged to dashpay),,2df11322f,Merge #13941: Add PSBT documentation,,FALSE
Done (Merged to dashpay),,0738b88fe,Merge #13967: [walletdb] don't report minversion wallet entry as unknown,,FALSE
Done (Merged to dashpay),,17d644901,Merge #13988: Add checks for settxfee reasonableness,,FALSE
Done (Merged to dashpay),,a5fc1aa04,Merge #13765: contrib: add gitian build support for github pull request,,FALSE
Done (Merged to dashpay),,271b379e6,Merge #14018: Bugfix: NSIS: Exclude Makefile* from docs,,FALSE
Done (Merged to dashpay),,5b52aa685,Merge #14025: p2p: Remove dead code for nVersion=10300,,FALSE
,P_Staged (merged to Pasta local repo),540bf8aac,Merge #12559: Avoid locking cs_main in some wallet RPC,,FALSE
Done (Merged to dashpay),,55c18a453,Merge #14024: qa: Add TestNode::assert_debug_log,,FALSE
